date,destination_region,oil_eur_per_day,gas_eur_per_day,coal_eur_per_day,total_eur_per_day
2022-12-01,South Korea,6864456.136211323,5249237.202538452,19074743.910935484,31188437.249685258
2022-12-01,Total,517305817.8899146,216396281.07114917,92485937.2902258,826188036.2512896
2022-12-01,Türkiye,45635531.123266906,33501795.758898854,12512871.996774195,91650198.87893996
2022-12-01,United Kingdom,0.0,0.0,0.0,0.0
2022-12-01,United States,1128589.594247226,0.0,0.0,1128589.594247226
2023-01-01,China,137643544.96953017,23385947.1402016,36947154.46025807,197976646.56998983
2023-01-01,EU,126828857.89008944,72880382.6302577,0.0,199709240.52034712
2023-01-01,India,87305201.27382188,0.0,9030007.503645161,96335208.77746704
2023-01-01,Others,72680693.1385316,23928229.494574495,15594061.344999997,112202983.97810608
2023-01-01,South Korea,3138935.531277451,3144235.2780220644,16720682.384129032,23003853.193428546
2023-01-01,Total,462239900.983469,158947899.62996972,92359711.28051613,713547511.8939549
2023-01-01,Türkiye,33598721.682046585,35609105.08691389,14067805.587483872,83275632.35644434
2023-01-01,United Kingdom,0.0,0.0,0.0,0.0
2023-01-01,United States,1043946.498171871,0.0,0.0,1043946.498171871
2023-02-01,China,150483056.1183277,33203765.62949401,34189884.278035715,217876706.02585745
2023-02-01,EU,44664123.002995126,59115798.53936639,0.0,103779921.54236151
2023-02-01,India,101115874.26841629,0.0,11427761.035607144,112543635.30402343
2023-02-01,Others,84061441.6246886,19723942.497852154,14876032.32375,118661416.44629075
2023-02-01,South Korea,2414125.682249357,2817562.1099575358,17784498.03796429,23016185.830171183
2023-02-01,Total,428375655.892599,148420827.23791113,88202104.68139286,664998587.811903
2023-02-01,Türkiye,45637035.19592189,33559758.461241044,9923929.006035713,89120722.66319865
2023-02-01,United Kingdom,0.0,0.0,0.0,0.0
2023-02-01,United States,0.0,0.0,0.0,0.0
2023-03-01,China,158973401.2914477,28134887.32161393,30374777.06358065,217483065.67664227
2023-03-01,EU,19805717.03042892,49820940.72162828,0.0,69626657.7520572
2023-03-01,India,103521204.16542721,0.0,13015918.405806454,116537122.57123366
2023-03-01,Others,120238123.04489616,13805878.179736607,14250288.853935482,148294290.07856825
2023-03-01,South Korea,1090121.812155871,5370377.373785806,9313216.856935484,15773716.042877162
2023-03-01,Total,451353809.6719359,114368814.02088143,73353281.16948387,639075904.8623012
2023-03-01,Türkiye,47725242.32758009,17236730.424116783,6399079.989225805,71361052.74092267
2023-03-01,United Kingdom,0.0,0.0,0.0,0.0
2023-03-01,United States,0.0,0.0,0.0,0.0
2023-04-01,China,128937061.95060496,23408883.760000624,26482034.487633333,178827980.1982389
2023-04-01,EU,20545336.151438396,48748583.02063147,0.0,69293919.17206986
2023-04-01,India,97096859.43924238,0.0,13037679.205166668,110134538.64440905
2023-04-01,Others,156997050.81339836,14390828.570274616,10834209.408766666,182222088.79243964
2023-04-01,South Korea,2949965.6605356666,2991210.6611794666,9156386.024466667,15097562.3461818
2023-04-01,Total,458154031.1986394,110045532.66679658,67997103.59923333,636196667.4646693
2023-04-01,Türkiye,50350403.18387461,20506026.654710397,8486794.4732,79343224.31178501
2023-04-01,United Kingdom,0.0,0.0,0.0,0.0
2023-04-01,United States,1277353.999545,0.0,0.0,1277353.999545
2023-05-01,China,166017238.4308714,25919018.449834004,30788336.904322583,222724593.78502798
2023-05-01,EU,21518170.984364506,46443955.99460345,0.0,67962126.97896795
2023-05-01,India,125759663.59158924,1221969.2236258066,11946908.173064519,138928540.98827958
2023-05-01,Others,135296729.0563236,13074375.179855123,8376785.606612902,156747889.84279162
2023-05-01,South Korea,4784045.494954806,0.0,9644673.664129032,14428719.159083838
2023-05-01,Total,512660907.3454548,97881515.61741993,67801573.6597742,678343996.622649
2023-05-01,Türkiye,58574175.58624729,11222196.76950156,7044869.311645161,76841241.66739401
2023-05-01,United Kingdom,0.0,0.0,0.0,0.0
2023-05-01,United States,710884.201104,0.0,0.0,710884.201104
2023-06-01,China,186546648.54941294,28434589.359085612,27177805.05183333,242159042.9603319
2023-06-01,EU,27502214.29111748,34749004.6993027,0.0,62251218.99042018
2023-06-01,India,119797108.3007431,0.0,11996259.169033332,131793367.46977644
2023-06-01,Others,148771351.41590685,11352157.540517922,9943919.044800002,170067428.00122476
2023-06-01,South Korea,3527778.5612063007,1837607.7465112999,11958479.273433331,17323865.58115093
2023-06-01,Total,549605375.6089091,83671763.09504299,67633173.28639999,700910311.9903522
2023-06-01,Türkiye,62671403.73809086,7298403.749625466,6556710.747299999,76526518.23501632
2023-06-01,United Kingdom,0.0,0.0,0.0,0.0
2023-06-01,United States,788870.7524315,0.0,0.0,788870.7524315
2023-07-01,China,135893851.63505575,22882986.295962468,27556484.03051613,186333321.96153435
2023-07-01,EU,19955953.935175013,39236596.48720728,0.0,59192550.422382295
2023-07-01,India,116523933.68004042,2155241.9219845165,6372311.565677418,125051487.16770235
2023-07-01,Others,113318495.56432112,9697848.521290256,10700820.866935484,133717164.95254685
2023-07-01,South Korea,698838.3715649032,882214.3115095161,9298066.642032258,10879119.325106677
2023-07-01,Total,446317253.2608205,92066015.9455347,61035359.50941935,599418628.7157745
2023-07-01,Türkiye,59926180.07466329,17211128.407580663,7107676.404258064,84244984.88650201
2023-07-01,United Kingdom,0.0,0.0,0.0,0.0
2023-07-01,United States,0.0,0.0,0.0,0.0
2023-08-01,China,183932072.89021343,30805134.135706086,23778142.052709676,238515349.0786292
